Noise Events,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,destinos? El que hace mas ruido es el que va a antofa,se requieren los datos de ruido de los puntos de medicion del los aeropuertos del año 2024,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Jardines del Sur,,,,,,,,,,,,,,,
"terminales (mp2, hay 3 estaciones), la dos es la mas importantes",dia y la hora en la que se registró el evento,nivel maximo de decibeles,,,,,"cuando el viento es mucho , el sensor se bloquea, cuando hay mas viento que 8 metros por segundo.",,,,,,,relacion entre el radar y la aeronave,tipo de aeronave
NMT,TLASmax,LASmax,SEL,Leq,LAZ,EPNL,Temperature [°C],A/D,Runway,Flight,Airline,Airline (Name),From/To,Callsign,Aircraft Type
,,,,,,,,,,,,,,,
MP02,16/01/2024 10:36:20,76.7,85.2,72.3,74.4,86.4,20.9,Departure,17L,JAT211,JAT,JAT Airways,SCPQ,JAT211,A20N
MP02,16/01/2024 11:15:20,67.1,72.1,65.1,61.3,73.9,22.6,Departure,17R,JES3881,JES,,SAEZ,JES3881,A320
MP02,16/01/2024 12:24:44,75.4,82.8,72.6,70.7,83.4,25.5,Departure,17R,SKU425,SKU,Sky Airline,SCTE,SKU425,A20N
MP02,16/01/2024 12:33:36,79.8,89.2,74.7,78.4,90.6,25.8,Departure,17L,LXP372,LXP,,SCCF,LXP372,A320
MP02,16/01/2024 12:40:55,65.9,76.6,62.7,69.9,78.3,25.8,Departure,17R,AFR401,AFR,Air France,LFPG,AFR401,B77W
MP02,16/01/2024 13:46:19,79.8,86.2,73.9,75.1,89.2,27.8,Departure,17L,CCAYR,CCA,Air China,SCLL,CCAYR,C550
MP02,16/01/2024 15:25:52,80.3,85.6,73.3,73.6,89.6,30.4,Departure,17L,CCPHM,CCP,,SCQP,CCPHM,PAY1
MP02,16/01/2024 18:16:27,65,75.7,62.9,68.7,77,31.4,Departure,17R,GTI8236,GTI,Atlas Air,KMIA,GTI8236,B748
MP02,16/01/2024 19:02:36,70.1,79,66.8,69,78.5,31.2,Departure,17R,LAN023,LAN,LAN Airlines,SCQP,LAN023,A320
MP02,16/01/2024 19:17:30,75.2,83,70.7,71.7,86.8,30.3,Departure,17L,CCAYR,CCA,Air China,SCSE,CCAYR,C550
MP02,16/01/2024 19:55:17,79.9,88.4,74.2,78.2,89.3,28.6,Departure,17L,LXP293,LXP,,SCCI,LXP293,A321
MP02,16/01/2024 20:27:39,69.5,79.2,64.5,71.6,79.6,27.6,Departure,17R,LAN162,LAN,LAN Airlines,SCDA,LAN162,A321
MP02,16/01/2024 20:33:01,67.2,69.8,64.4,59.4,71.3,27.3,Departure,17R,LXP932,LXP,,SCAR,LXP932,A320
MP02,16/01/2024 21:41:01,65.3,77,62.4,70.2,79.4,24.6,Departure,17R,ETH3509,ETH,Ethiopian Airlines,KMIA,ETH3509,B77L
MP02,16/01/2024 22:50:40,77.2,87.4,73.2,76.2,89.8,22.7,Departure,17L,LNE1446,LNE,LAN Ecuador,SEGU,LNE1446,A319
MP02,16/01/2024 23:08:14,66.8,79.9,64,72.7,81.4,22.4,Departure,17R,UAL846,UAL,United Airlines,KIAH,UAL846,B763
MP02,17/01/2024 0:10:41,77.5,86.6,72.2,77,88.6,20.9,Departure,17L,AAL940,AAL,American Airlines,KDFW,AAL940,B788
